date,district_id,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-06-15,298,-42.42857142857143,-1.5714285714285714,123.57142857142857,-52.285714285714285,-52.857142857142854,21.0
2020-06-15,299,-46.857142857142854,-11.142857142857142,83.14285714285714,-53.0,-48.857142857142854,19.857142857142858
2020-06-15,300,-50.42857142857143,-11.428571428571429,144.14285714285714,-53.142857142857146,-47.42857142857143,17.571428571428573
2020-06-15,301,-41.285714285714285,-7.857142857142857,133.71428571428572,-51.0,-45.42857142857143,17.714285714285715
2020-06-15,302,-55.285714285714285,-10.0,61.42857142857143,-53.57142857142857,-54.714285714285715,21.714285714285715
2020-06-15,303,-62.42857142857143,-21.285714285714285,15.857142857142858,-64.85714285714286,-55.285714285714285,22.285714285714285
2020-06-15,304,-52.285714285714285,-15.428571428571429,68.85714285714286,-53.714285714285715,-43.57142857142857,18.571428571428573
2020-06-15,305,-69.42857142857143,-25.0,-5.428571428571429,-61.57142857142857,-58.57142857142857,23.428571428571427
2020-06-15,306,-37.142857142857146,-10.857142857142858,88.0,-46.0,-48.57142857142857,18.142857142857142
2020-06-15,307,-57.0,-11.571428571428571,86.71428571428571,-57.0,-57.142857142857146,23.857142857142858
2020-06-15,308,-86.28571428571429,-47.714285714285715,-41.285714285714285,-78.85714285714286,-57.42857142857143,22.142857142857142
2020-06-22,276,-93.0,-67.57142857142857,-71.42857142857143,-80.14285714285714,-74.4,
2020-06-22,277,-41.0,-6.285714285714286,106.28571428571429,-36.0,-38.857142857142854,13.428571428571429
2020-06-22,278,-42.857142857142854,-8.142857142857142,144.42857142857142,-46.714285714285715,-48.42857142857143,18.0
2020-06-22,279,-47.857142857142854,-8.285714285714286,88.85714285714286,-44.57142857142857,-43.42857142857143,16.857142857142858
2020-06-22,280,-47.714285714285715,-6.714285714285714,174.57142857142858,-42.857142857142854,-44.714285714285715,16.0
2020-06-22,281,-49.857142857142854,-8.571428571428571,68.0,-50.857142857142854,-49.57142857142857,19.142857142857142
2020-06-22,282,-80.57142857142857,-36.57142857142857,51.714285714285715,-74.28571428571429,-59.57142857142857,21.428571428571427
2020-06-22,283,-48.57142857142857,-8.0,129.42857142857142,-50.57142857142857,-44.57142857142857,17.142857142857142
2020-06-22,284,-40.0,-5.571428571428571,135.28571428571428,-51.714285714285715,-45.857142857142854,16.857142857142858
2020-06-22,285,-40.142857142857146,-6.0,89.42857142857143,-40.285714285714285,-40.857142857142854,15.285714285714286
2020-06-22,286,-48.42857142857143,-3.142857142857143,63.285714285714285,-41.57142857142857,-48.42857142857143,17.857142857142858
2020-06-22,287,-60.0,0.5714285714285714,188.71428571428572,-54.0,-50.42857142857143,18.142857142857142
2020-06-22,288,-63.57142857142857,-20.714285714285715,104.14285714285714,-62.0,-55.714285714285715,20.428571428571427
2020-06-22,289,-44.857142857142854,-10.857142857142858,133.14285714285714,-49.142857142857146,-52.42857142857143,18.285714285714285
2020-06-22,290,-48.285714285714285,-11.0,143.0,-49.285714285714285,-43.857142857142854,17.285714285714285
2020-06-22,291,-46.57142857142857,-10.0,58.857142857142854,-45.857142857142854,-42.42857142857143,16.0
2020-06-22,292,-52.0,-11.714285714285714,117.28571428571429,-75.85714285714286,-44.285714285714285,17.0
2020-06-22,293,-40.857142857142854,-8.714285714285714,90.14285714285714,-46.857142857142854,-46.142857142857146,17.142857142857142
2020-06-22,294,-76.14285714285714,-18.142857142857142,108.71428571428571,-67.57142857142857,-58.0,22.714285714285715
2020-06-22,295,-73.42857142857143,-11.428571428571429,29.142857142857142,-65.42857142857143,-54.57142857142857,22.6
2020-06-22,296,-52.714285714285715,-12.0,54.0,-51.142857142857146,-50.285714285714285,19.0
2020-06-22,297,-66.57142857142857,-11.285714285714286,71.42857142857143,-65.71428571428571,-54.42857142857143,20.571428571428573
2020-06-22,298,-41.857142857142854,1.2857142857142858,146.85714285714286,-50.42857142857143,-52.857142857142854,19.142857142857142
2020-06-22,299,-47.57142857142857,-9.142857142857142,87.57142857142857,-54.0,-48.42857142857143,18.714285714285715
2020-06-22,300,-48.57142857142857,-9.0,154.71428571428572,-51.0,-46.714285714285715,16.142857142857142
2020-06-22,301,-41.285714285714285,-6.142857142857143,147.57142857142858,-49.285714285714285,-44.714285714285715,16.285714285714285
2020-06-22,302,-52.0,-7.857142857142857,81.28571428571429,-51.714285714285715,-53.714285714285715,20.571428571428573
2020-06-22,303,-61.142857142857146,-18.857142857142858,31.0,-62.42857142857143,-54.857142857142854,20.857142857142858
2020-06-22,304,-51.857142857142854,-12.571428571428571,78.0,-52.285714285714285,-43.142857142857146,17.571428571428573
